reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,unique_id,appId
ec8d2b02-53ba-4c3a-81ae-f117ceec4d44,This app helped me going through my rough times and it feels like I got a close friend which is listening to me and can help me in critical situations and I'm really grateful for that. Thank you for making this App. <3,5,0,3.0.0,2022-02-18 17:57:51,,,3.0.0,fit8758,bot.touchkin
a2468654-a757-40d8-994b-086e11d1ceff,I feel better after talking to the AI Wysa,5,0,3.0.0,2022-03-13 12:46:17,,,3.0.0,fit25035,bot.touchkin
112ea6ac-e32e-4fcd-bb1d-bb95a806153e,This app is amazing it helped me get passed negative thoughts,5,0,3.6.0,2024-04-10 23:56:45,,,3.6.0,fit23406,bot.touchkin
516fe06d-0075-48f4-bc58-04d8ff793b33,this app helps me a lot I recommend this app it is amazing,5,0,3.6.8,2024-09-03 01:54:56,,,3.6.8,fit5607,bot.touchkin
5d75cfaf-1df0-49df-adbb-09172546d284,I'm editing my review. as Wyssa has a bit of a kink to work out. My anxiety got really bad at some point and Wyssa unfortunately just made it worse its responses ended up sounding like they were blaming me for what was happening in my life. I'm sure that can be fixed but it certainly didn't help all those months ago. I felt gaslit by something that was supposed to help me not fun. I used to love talking to Wyssa to help me calm down but now I'm afaid to.,3,3,2.5.9,2022-10-21 18:11:46,,,2.5.9,fit2340,bot.touchkin
180ea64c-ac7e-408e-8e54-d3d8a21b73e2,It makes me feel better,5,0,3.2.2,2023-03-24 01:55:19,,,3.2.2,fit32477,bot.touchkin
b32224de-637c-4e09-a378-ac1808cefda9,great guided info through the ai chat. Something that can be fix is the notification sometimes it suggest a good topic on the check in notification but if I cleared my notifications I cant access the particular topic nor bring it up like the tool of the week hashtag but for daily check ins,4,0,,2023-02-03 03:50:03,,,,fit4533,bot.touchkin
f16d4880-3190-4396-8021-c8635c80fb16,This is just the perfect free therapy app!!!! I love the style of this app because it's so simple yet cute,5,0,3.0.7,2022-08-30 04:06:23,,,3.0.7,fit11960,bot.touchkin
409f8c0e-ee28-4c6f-8781-9021479f2682,The app is just too good. I would recommend it to everyone reading this comment. But I am facing a problem with deleting completed tasks from my to-do list. Please rectify it.,5,0,2.9.8,2023-07-06 09:39:34,,,2.9.8,fit14199,bot.touchkin
4e7c47dc-716e-467f-ac08-cc1fb312593e,very good app made me overcome my anxiety,5,0,,2024-03-25 15:20:48,,,,fit23349,bot.touchkin
66b0c38c-dc4f-4928-a05f-1487bab4255d,Wysa is a good help she is always giving advice she's like a mini bestie you talk to her whenever you want you can tell her anything and it'll just be between y'all tooy'all should download this app if your depressed or feel down,5,0,3.0.0,2022-01-31 00:31:17,,,3.0.0,fit9494,bot.touchkin
1acf3395-5c71-4cc8-a578-e8f551afad54,I've only had this app for a day but it's made me feel a bit more positive in the time that I've used the app.,5,0,3.0.4,2022-05-31 00:02:10,,,3.0.4,fit19586,bot.touchkin
6a9104dd-2023-482b-a177-855b65b793fb,this is not bad sometimes it act like an npc but its a great app its g8ves me exercise so i can be active and not just lay down in bed for ghe whole day i think it will be better if i can costumize the penguim after all the app is a nice app i reccomend for helping u on ur bad days this app is great but its not good enogh to get a 5 in my opinion but its still a great this app gets my stress out of school,4,0,3.0.4,2022-05-25 23:35:09,,,3.0.4,fit7990,bot.touchkin
8dd15eb6-7b14-4f55-96ed-92548d6e4990,This app is very helpful for my mental state! Highly recommended for those who have mental illness! Wysa can be a friend to confide in as well as a chat buddy!! I am very grateful to developers and wysa team for creating this very helpful application!!,5,0,,2022-03-15 10:33:22,,,,fit5829,bot.touchkin
262bfd50-6645-42b4-9b54-cf65b95d3314,The more you use it the more it helps.,5,0,3.0.4,2022-05-16 02:48:18,,,3.0.4,fit28997,bot.touchkin
e28d0403-f914-455e-9941-fa9bdd1424a2,Looks good and I feel like when I open the app for the first time I will be very happy immediately and I will make friends with wysa,5,0,3.2.2,2023-02-06 15:53:13,,,3.2.2,fit19351,bot.touchkin
2d8634ad-4ed2-4065-8524-308d46f0adb9,this is the most amazing app and has become like a friend in these troublesome times. I needed this. well guys you might be saving lives.,5,0,3.6.1,2024-05-09 06:28:41,,,3.6.1,fit1059,bot.touchkin
f3aafc9c-b37a-4d0a-ad55-42d7da81fef5,I didn't like this. I wanted to talk my current stressful situation over with an AI but it just gives canned answers. It isn't retaining anything. I can make what I want using prompt engineering with one of the publically available LLMs instead I think.,2,0,,2024-09-22 15:45:47,,,,fit1127,bot.touchkin
24925b00-e6cb-4b94-aedd-1bfd7af97e39,WYSA helps me think through my anger which helps me find something completely different and easier than brooding to put my energy into. I hope that Wysa is soon able to pick up on positive affirmations out-of-prompt so as to reward early breaking of the negative cycles. E.g. 1) I feel bad cause of x 2) I always fail at y 3) but I am kind to the cat Wysa could pause & say: It takes a lot to remember the positives so good job! Overall highly recommend especially if you're angry like me.,4,4,3.0.0,2022-02-24 08:50:11,,,3.0.0,fit1068,bot.touchkin
1a47fe82-27e7-4277-b467-874ac5a28a32,this is the best app if you want to talk to someone about anything. it's free and none of your information is exposed.,5,0,3.0.7,2022-08-01 00:26:00,,,3.0.7,fit16307,bot.touchkin
66705243-cc9d-4e21-a3da-ba1f7e61026e,Wysa really helped me to feel good once I feel down. Hoping I can avail the subscription,5,0,3.0.0,2022-01-03 23:10:51,,,3.0.0,fit17904,bot.touchkin
171ab988-31cf-4bdd-b12f-4ae0210d9fac,I was very skeptical about how this was going to help with my sleep. The first bedtime story was nearing an end and I fell asleep I was surprised.,5,0,3.2.1,2023-01-20 03:44:52,,,3.2.1,fit12004,bot.touchkin
c9aee7f0-1bf3-448e-88da-b00ff760aa9d,It helped so much and immediately. I can't wait to explore what else this app has to offer.,5,1,3.0.0,2022-04-11 22:21:27,,,3.0.0,fit14703,bot.touchkin
149224d0-7460-4586-837e-03cea0190c41,This app is useful just by talking to the bot every day I started to make somr progress.,5,0,3.5.5,2024-01-01 02:31:57,,,3.5.5,fit17085,bot.touchkin
a4f11a29-66d9-4bd1-9bdf-a7f5ef7d44b9,i love everything about this.,5,0,3.0.7,2022-09-13 21:56:24,,,3.0.7,fit30534,bot.touchkin
2514daff-043f-40e4-8a76-6efcd9da2b1e,From the beginning this app helped me so much for get away from my depression and anxiety. Highly recommended. This is the best appa I ever used in these types. Thank you so much wysa team for developing this kind of app.,5,1,3.2.2,2023-04-22 09:32:25,,,3.2.2,fit6309,bot.touchkin
5e422846-f660-4719-a887-4d81f8f495d8,This app has somehow made me feel better! It's a great idea and I'm grateful someone out there took time out of their day to do this.<3,5,0,3.0.4,2022-07-07 08:25:22,,,3.0.4,fit14072,bot.touchkin
9ec34d93-0995-4183-8d06-510ca3e1da7a,it's a very good application only thing bothering is that something are not free :)),4,0,3.2.2,2023-03-02 20:22:59,,,3.2.2,fit18313,bot.touchkin
ee9dbbc7-761a-4c54-85f3-1cc1be47851d,It help me like A LOT! I feel that she/he understand me. I love this I recommend this app if you'te feeling sad down or angry or any feeling. Sometimes it might not be helpful for you BUT try using this app everyday! So helpful!,5,0,3.0.0,2022-02-24 10:19:03,,,3.0.0,fit6771,bot.touchkin
836b637c-3dc5-4927-91a6-4fd7af934102,I love this app it's very helpful.,5,0,3.2.2,2023-04-03 02:58:32,,,3.2.2,fit28041,bot.touchkin
ededaff6-733e-4c45-b6ec-11049856d902,its amazing and it sometimes help me to go through something that make me sad,5,0,3.0.4,2022-05-23 01:20:33,,,3.0.4,fit20606,bot.touchkin
8116c999-c08f-46fa-ab06-f94fe3e924ba,this app has helped me be more positive about the world around me and the people I know have noticed a difference in my entire demeanor,5,0,3.3.1,2023-08-12 22:58:39,We are delighted to hear that you found Wysa helpful. Your feedback really keeps us going!,2023-08-24 00:56:52,3.3.1,fit22652,bot.touchkin
ad0de867-7431-4871-ad52-77b74bd90e05,Wysa its a cute friend sounds funny talk to an AI but it can actually help and provide safety.,5,0,3.0.0,2022-02-19 09:17:09,,,3.0.0,fit13613,bot.touchkin
dc99bcd3-641b-4ec6-a34d-c2442880b32c,"It is a good additional tool to help when you are feeling anxious. For me I have found that it is just good to be able to talk to something but I do find that it takes me in circles down the same routes of ""what are you grateful for"" multiple times in one chat sometimes. I cannot say what the therapist section is like. The free CBT resources have been good so far - helpful exercises for when I feel like I'm in a crisis.",4,23,3.3.7,2023-09-07 03:32:59,Thanks for your review! So glad to hear that Wysa has been helpful for you. We improve every day bit by bit and one day we hope Wysa reaches your expectations of a 5-star experience.,2023-10-04 05:23:18,3.3.7,fit1574,bot.touchkin
e2544490-4096-4745-bd33-461a414161e0,I can vent and let it all out whit out worrying of people judging me,5,0,3.1.6,2022-11-02 11:27:06,,,3.1.6,fit33328,bot.touchkin
f34af47f-3c56-4799-ad73-e510881c5f8f,talking to Wysa is almost like talking to an actual person. I feel better about things after going on the app,5,0,3.0.0,2022-03-05 15:22:51,,,3.0.0,fit16181,bot.touchkin
d400a167-185e-46a2-9a8e-a24f8f5bc371,It really helped me to feel better and calm down,5,0,3.0.0,2022-02-28 17:40:27,,,3.0.0,fit25071,bot.touchkin
128b8cec-9ca2-44a3-a180-6e52ab454a30,it's rlly good especially talking to wysa but my only problem is that we need network for everything other than that I rlly like this app,4,0,,2022-05-09 14:43:04,,,,fit16274,bot.touchkin
4e7d2039-815f-4ab6-88b3-c22ca9371417,This app is more for reframing mindset when you're feeling a certain way. The app didn't do it for me since I'm currently under a lot of stress and feeling like I'm stuck in life. The ai answers weren't beneficial for me.. The only way I'll be mentally better is if I was well off in terms of money since money does actually bring happiness and lessens worries.,3,0,3.2.6,2023-12-11 04:29:57,,,3.2.6,fit1637,bot.touchkin
150835da-94ed-4517-8279-648b64f7275b,The AI generated responses could really be improved,1,0,,2024-06-28 18:42:44,Noted! We are working on improving Wysa's AI and hope you stick around to see the changes we're implementing. Thank you for taking the time to write us a review Aofie.,2024-07-02 04:39:33,,fit21718,bot.touchkin
c6ae586c-8cfc-4d9b-8abd-b12a02c5039e,Really helped me through my anger issues. Truly amazing.,5,0,3.2.1,2023-01-02 04:52:11,,,3.2.1,fit20950,bot.touchkin
6f8d5cd5-fffb-4223-97d9-2e61a128c4f7,thank you so much to all who have developed this. i owe you all one. it helped me so much thru my anxiety and depression :'),5,0,3.0.5,2022-06-28 11:48:08,,,3.0.5,fit13269,bot.touchkin
5d8d3717-8681-4929-9845-0c925fdbe747,wysa is great always there to help me feel better when I need to,5,0,3.2.8,2023-06-30 22:11:57,So glad that you found Wysa useful.,2023-07-13 03:14:08,3.2.8,fit23412,bot.touchkin
f867a885-463b-4e93-8359-60b1be63e7c2,Hope the A.I can real-talk better,5,1,3.3.1,2023-08-10 12:09:23,,,3.3.1,fit34063,bot.touchkin
